CNPJ_FUNDO,SIT,DT_REG,TAXA_ADM,VL_PATRIM_LIQ,cnpj,uf,razao_social,sigla,nome
26452257000178,EM FUNCIONAMENTO NORMAL,2017-06-12,null,55024307.24,26452257000178,SP,AURI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,SP,São Paulo
22809036000153,EM FUNCIONAMENTO NORMAL,2016-06-20,0.8,13962072.14,22809036000153,SP,BNP PARIBAS ICATU SEG CLASSE DE INVESTIMENTO PREVIDENCIARIA RENDA FIXA CRED PRIVADO - RESP LIMITADA,SP,São Paulo
11249598000173,EM FUNCIONAMENTO NORMAL,2009-11-11,null,387226795.02,11249598000173,SP,AGRIFARM FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
24701488000142,EM FUNCIONAMENTO NORMAL,2016-05-11,null,196597902.55,24701488000142,SP,BREOF III - FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA - RESPONSABILIDADE LIMITADA,SP,São Paulo
07644864000195,EM FUNCIONAMENTO NORMAL,2005-12-27,null,1248536.18,07644864000195,SP,CINE AA FUNDO DE FINANCIAMENTO DA INDUSTRIA CINEMATOGRAFICA NACIONAL - FUNCINE,SP,São Paulo
50152676000179,EM FUNCIONAMENTO NORMAL,2023-03-30,null,34737947.55,50152676000179,SP,INVESTMACH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,SP,São Paulo
52069691000183,EM FUNCIONAMENTO NORMAL,2023-09-04,null,742040018.13,52069691000183,SP,HERMON FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,SP,São Paulo
35178253000134,EM FUNCIONAMENTO NORMAL,2020-01-10,0.66,356009703.75,35178253000134,MG,MARACA FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR E CREDITO PRIVADO,MG,Minas Gerais
51804355000174,EM FUNCIONAMENTO NORMAL,2023-08-14,null,15759571.48,51804355000174,SP,COPEL VENTURES I FUNDO DE INVESTIMENTO EM PARTICIPACOES - EMPRESAS EMERGENTES RESP LIMITADA,SP,São Paulo
02668201000197,EM FUNCIONAMENTO NORMAL,2005-03-22,0.1,1596279507.29,02668201000197,SP,BNP PARIBAS EQD BRAZIL FUND CLASSE DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,SP,São Paulo
46780646000130,EM FUNCIONAMENTO NORMAL,2022-12-08,null,95040346.5,46780646000130,SP,PC 78 FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,São Paulo
28549930000118,EM FUNCIONAMENTO NORMAL,2017-12-07,null,933563811.39,28549930000118,SP,CSHG JIVE DISTRESSED ALLOCATION II FIC DE FIF MULTI CP - RESPONSABILIDADE LIMITADA,SP,São Paulo
50311731000126,EM FUNCIONAMENTO NORMAL,2023-04-13,null,54841873.99,50311731000126,SP,ID FY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,SP,São Paulo
27368761000157,EM FUNCIONAMENTO NORMAL,2019-04-29,null,315840331,27368761000157,SP,GLP INVESTIMENTOS V FUNDO DE INVESTIMENTO EM PARTICIPACOES - MULTIESTRATEGIA,SP,São Paulo
01497954000114,EM FUNCIONAMENTO NORMAL,1996-10-02,null,157484243.68,01497954000114,RS,FUNDO DE INVESTIMENTO IMOBILIARIO MISTRAL,RS,Rio Grande do Sul
47716415000120,EM FUNCIONAMENTO NORMAL,2022-10-07,1.2,39209496.99,47716415000120,RJ,JOURNEY CAPITAL CREDITO ESTRUTURADO 120 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,RJ,Rio de Janeiro
19831126000136,EM FUNCIONAMENTO NORMAL,2014-04-11,1.5,1633861484.91,19831126000136,SP,WESTERN ASSET FUNDO DE INVESTIMENTO FINANCEIRO ACOES BDR NIVEL I - RESPONSABILIDADE LIMITADA,SP,São Paulo
20998989000181,EM FUNCIONAMENTO NORMAL,2022-12-06,null,12237906.79,20998989000181,SP,VERUM II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS RESPONSABILIDADE LIMITADA,SP,São Paulo
11326746000106,EM FUNCIONAMENTO NORMAL,2010-05-28,null,406820772.71,11326746000106,SP,TAG GR IV - FUNDO DE INVESTIMENTO IMOBILIARIO DE RESPONSABILIDADE LIMITADA,SP,São Paulo
29315285000131,EM FUNCIONAMENTO NORMAL,2018-10-02,null,12770599.47,29315285000131,SP,OIKOS FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA - RESPONSABILIDADE LIMITADA,SP,São Paulo
16685929000131,EM FUNCIONAMENTO NORMAL,2023-02-13,null,621389246.97,16685929000131,RJ,FUNDO DE INVESTIMENTO IMOBILIARIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,RJ,Rio de Janeiro
